wmc,dit,noc,cbo,rfc,lcom,loc,fault
2,3,0,9,16,1,113,0
4,3,0,1,8,4,82,0
18,1,0,16,55,0,687,1
6,6,0,4,36,1,464,0
4,1,0,26,29,6,213,0
5,2,2,22,6,10,26,0
5,1,1,14,13,10,34,0
51,4,0,22,125,1041,1243,0
2,2,0,11,11,1,53,0
89,2,0,141,269,3550,2699,0
2,2,0,7,7,1,32,0
4,1,0,2,15,0,54,0
9,1,3,16,14,28,50,0
11,4,0,0,26,55,173,0
7,1,0,8,15,1,62,0
8,1,0,6,8,28,8,0
4,1,0,4,9,0,49,0
9,2,4,16,56,24,601,0
18,2,0,6,36,153,84,0
3,1,0,7,3,3,3,0
22,1,0,34,114,219,2003,0
5,1,0,7,5,10,5,0
4,1,0,3,12,0,37,0
4,2,0,4,6,2,26,0
8,1,0,16,17,22,160,0
1,1,0,12,2,0,16,0
5,1,1,3,6,10,12,0
5,2,0,4,25,2,301,0
43,1,4,52,116,805,962,0
2,2,0,1,4,1,14,0
3,1,0,4,4,3,23,0
4,1,0,3,22,6,105,0
17,1,0,5,27,10,709,0
6,1,0,3,20,0,120,0
75,1,2,58,156,2419,1888,0
5,7,0,11,57,0,438,0
59,1,0,73,163,1389,1844,0
7,3,0,16,73,1,828,0
4,3,0,10,43,4,405,0
13,1,0,2,13,78,13,0
14,1,0,9,63,0,721,0
17,5,0,28,105,100,590,0
4,1,0,7,54,4,318,0
25,1,1,9,60,62,496,0
19,1,0,17,56,157,401,0
22,1,3,24,47,231,322,0
33,1,4,47,67,444,529,0
16,1,0,167,55,58,485,0
4,1,0,3,5,6,15,0
13,2,0,5,35,6,281,0
3,1,0,13,4,3,16,0
7,7,1,7,41,21,220,0
2,2,0,10,7,1,79,0
1,5,0,10,10,0,23,0
2,1,0,3,3,0,12,0
2,5,0,4,24,0,148,0
5,2,0,12,35,6,221,0
2,1,0,5,2,1,2,0
8,6,0,6,31,20,121,0
5,2,0,11,10,2,128,0
21,5,0,20,99,130,596,0
8,1,0,15,43,14,378,0
10,1,0,28,37,45,218,0
12,2,0,5,72,0,525,0
13,2,0,1,20,30,115,0
22,1,2,21,52,201,411,0
21,1,0,30,67,0,411,0
5,2,0,7,22,4,155,0
2,1,0,2,4,1,55,0
4,1,0,5,8,2,239,0
3,1,0,28,3,3,3,0
8,2,0,11,55,12,388,0
2,1,0,6,2,1,2,0
10,1,0,10,44,23,421,0
4,2,0,15,22,6,119,0
3,1,0,5,3,3,3,0
17,1,0,3,82,106,2224,0
6,2,0,14,16,15,113,0
9,1,0,4,13,0,104,0
5,1,0,11,5,10,5,0
8,1,0,12,16,12,88,0
1,3,0,2,2,0,5,0
39,1,0,49,181,469,2302,0
3,1,0,13,38,3,191,0
5,1,0,10,37,0,203,0
4,2,0,10,8,4,37,0
41,1,0,25,120,820,1482,0
2,1,0,4,4,1,12,0
14,6,0,7,56,51,557,0
8,5,0,5,33,0,419,0
23,1,0,6,57,41,1257,0
15,5,0,27,107,67,564,0
6,1,0,6,48,0,290,0
16,6,0,10,72,74,557,0
1,1,0,3,1,0,1,0
351,1,0,51,443,41713,12535,0
3,2,0,12,20,3,294,0
3,7,0,2,6,3,16,0
4,2,0,4,17,6,86,0
7,1,0,0,48,21,333,0
1,2,0,18,2,0,5,0
17,5,23,25,39,102,507,0
18,1,0,13,94,39,707,0
3,1,0,3,8,0,24,0
3,2,0,6,16,1,97,0
5,2,0,4,17,0,109,0
8,6,0,9,26,16,105,0
3,1,0,10,29,3,157,0
7,1,0,8,31,19,159,0
44,1,0,49,156,632,1802,0
11,1,0,10,47,41,551,0
6,2,0,20,46,15,427,0
4,1,0,21,5,0,28,0
11,6,0,11,70,47,672,0
10,1,0,19,38,0,191,0
9,1,0,20,43,0,466,0
1,2,0,5,2,0,5,0
3,2,0,4,6,0,32,0
4,1,0,1,4,6,4,0
34,1,1,21,70,507,589,0
6,1,0,2,13,0,75,0
1,2,0,3,2,0,5,0
31,5,0,79,111,273,698,0
1,1,0,48,1,0,1,0
23,6,0,29,73,201,403,0
3,1,0,7,3,3,3,0
12,1,0,10,24,26,182,0
3,2,0,11,10,3,81,0
10,2,0,11,24,45,99,0
4,1,0,5,4,6,4,0
1,1,0,8,1,0,1,0
4,2,0,4,6,0,83,0
7,4,1,4,25,19,130,0
2,1,0,9,2,1,2,0
2,1,0,4,4,1,12,0
2,1,0,4,9,1,57,0
4,2,0,7,21,0,79,0
1,1,0,5,1,0,1,0
21,1,0,10,36,96,559,0
4,5,0,9,23,0,82,0
2,1,0,4,4,1,11,0
4,2,0,12,24,6,190,0
3,2,0,9,26,0,172,0
2,1,0,8,2,1,2,0
8,7,0,12,41,22,212,0
6,2,0,8,15,5,68,0
8,1,0,15,76,0,930,0
10,6,0,7,47,19,254,0
10,2,0,11,38,13,294,0
2,1,0,4,4,1,12,0
6,1,0,6,26,15,193,0
5,1,0,2,17,4,133,0
2,2,0,6,9,1,32,0
16,1,2,17,39,74,360,0
70,1,0,77,187,2409,2017,0
12,5,0,16,73,6,445,0
2,2,0,12,10,1,136,0
2,1,0,27,4,1,72,0
1,1,0,4,1,0,1,0
31,1,0,3,44,139,1283,0
262,4,3,81,540,19801,9460,0
13,3,0,17,28,52,135,0
4,1,5,9,5,6,10,0
10,7,0,10,69,19,403,0
3,2,0,11,14,3,61,0
24,1,0,1,41,198,749,0
4,2,0,6,12,0,35,0
5,6,0,6,42,0,523,0
19,2,0,13,47,79,552,0
2,4,0,5,10,0,31,0
3,2,0,7,10,3,52,0
2,1,0,4,4,1,12,0
4,1,0,3,12,0,46,0
15,1,0,3,30,79,923,0
5,1,0,3,12,8,42,0
32,1,0,6,53,0,2884,0
11,2,0,7,38,23,541,0
12,6,0,9,72,32,657,0
12,3,2,57,25,14,216,0
27,1,0,20,65,65,1240,0
8,1,0,5,10,4,75,0
4,2,0,9,9,4,47,0
6,8,0,10,26,13,177,0
21,2,0,19,87,208,665,0
1,1,0,3,1,0,1,0
3,1,0,11,21,3,119,0
2,2,0,4,4,1,8,0
6,5,0,11,30,5,139,0
2,1,0,4,4,1,12,0
7,1,0,8,29,0,248,0
3,1,0,8,23,3,101,0
23,2,1,3,51,195,300,0
12,1,0,16,39,20,232,0
4,2,0,4,17,4,94,0
3,2,0,5,13,3,86,0
5,6,0,7,34,2,203,0
7,1,0,9,29,21,113,0
7,1,0,40,7,21,7,0
118,1,0,1,180,6075,5209,0
1,4,0,3,2,0,5,0
13,1,0,7,33,26,261,0
5,2,0,12,13,0,94,0
9,1,0,7,21,0,87,0
5,7,0,9,64,6,312,0
2,1,0,4,4,1,12,1
10,2,0,3,21,15,148,0
7,4,0,3,64,5,427,0
12,1,0,12,66,0,675,0
7,5,0,16,56,7,610,0
4,1,0,4,19,4,82,0
22,7,0,8,85,187,695,0
7,1,0,1,19,1,437,0
3,6,0,3,23,1,229,0
14,2,0,10,33,29,400,0
17,1,0,4,31,0,970,0
2,3,0,12,21,1,336,0
4,2,0,8,12,6,80,0
10,6,0,12,57,15,687,0
27,1,0,19,96,295,745,0
14,1,0,17,72,21,1597,0
5,1,8,13,6,10,54,0
22,6,0,23,115,167,561,1
2,2,0,7,6,1,28,0
9,6,0,7,40,0,162,0
3,1,0,9,6,3,44,0
51,1,0,5,67,51,7188,0
5,1,2,7,20,4,126,0
8,8,0,12,20,28,146,0
2,1,2,8,4,1,11,0
5,2,0,10,13,4,55,0
11,2,0,22,57,53,455,0
8,7,0,6,60,20,295,0
19,1,0,31,50,91,458,0
4,2,0,4,6,4,20,0
7,2,0,10,29,0,615,0
3,6,0,8,14,3,46,0
2,1,0,3,2,1,2,0
15,3,1,16,87,0,1296,0
2,2,0,7,6,1,36,0
4,2,0,11,20,6,290,0
10,2,0,4,29,17,278,0
2,2,0,16,25,1,179,0
14,1,1,32,47,55,535,0
8,1,0,2,11,0,256,0
3,2,0,11,17,3,149,0
2,2,0,17,28,1,235,0
9,1,0,7,15,36,84,0
7,1,0,8,18,13,87,0
5,7,0,8,52,2,372,0
4,2,1,6,21,4,129,0
2,1,0,3,2,1,2,0
45,1,0,44,85,820,1940,0
8,1,0,1,47,10,473,0
10,4,0,16,25,23,135,0
2,5,1,11,5,1,12,0
2,2,0,10,10,1,41,0
8,6,0,9,68,8,457,0
5,7,0,9,30,4,156,0
2,2,0,1,5,1,14,0
5,1,2,5,11,10,175,0
4,2,0,21,12,0,170,0
7,7,0,7,48,13,401,0
19,5,0,39,108,111,790,0
20,5,1,14,75,104,391,0
21,1,1,29,50,156,601,0
3,2,0,9,28,0,177,0
19,1,2,16,55,0,398,0
11,1,0,11,57,23,515,0
119,1,1,90,279,5913,4045,1
12,6,0,3,31,28,269,0
1,1,0,2,2,0,8,0
90,6,0,234,339,3509,3081,1
6,1,0,3,24,0,218,0
11,7,0,9,71,29,408,0
3,1,0,2,18,3,117,0
3,4,0,10,9,1,44,0
2,1,0,4,4,1,12,0
19,1,0,1,32,35,443,0
2,2,0,10,12,1,67,0
1,1,0,2,1,0,1,0
8,2,0,17,25,4,252,0
1,1,0,2,1,0,196,0
1,1,0,4,1,0,1,0
4,1,0,5,4,6,4,0
7,1,8,11,13,19,102,0
4,1,0,6,37,6,325,0
17,1,0,5,46,130,819,0
2,1,0,4,2,1,2,0
2,1,0,3,2,1,2,0
14,6,0,18,90,59,470,0
13,1,0,2,23,0,498,0
27,1,0,21,69,351,1201,0
3,1,0,8,6,3,17,0
17,5,0,23,77,76,498,0
68,5,0,75,291,1812,2351,0
10,6,0,6,58,17,269,0
5,1,0,7,20,0,132,0
11,2,0,6,39,21,256,0
20,2,0,12,84,46,798,0
12,6,0,9,58,26,748,0
22,6,0,10,75,195,532,0
74,1,0,154,228,2673,2274,0
3,5,0,5,13,0,47,0
7,1,0,10,23,19,216,0
39,5,0,79,244,231,1783,1
16,7,0,8,91,82,780,0
6,1,0,6,9,15,34,0
5,2,0,10,21,4,187,0
31,6,0,35,121,283,1546,0
4,6,0,5,34,6,150,0
5,2,0,4,11,10,44,0
11,1,2,20,37,29,353,0
18,1,1,6,32,75,453,0
3,1,0,10,20,3,89,0
4,3,3,51,12,6,50,0
2,1,0,4,2,1,2,0
13,2,6,31,22,66,99,0
3,1,0,11,35,1,228,0
3,2,0,1,12,3,88,0
7,2,0,4,21,15,141,0
32,1,0,13,65,408,559,0
10,5,0,8,30,31,158,0
6,3,0,2,19,15,184,0
9,2,0,23,69,12,519,0
6,2,0,11,14,5,86,0
5,1,0,2,5,10,5,0
17,1,0,5,17,136,17,0
9,2,0,17,71,24,667,0
11,2,0,11,40,0,584,0
15,1,0,19,74,47,561,0
49,1,0,13,128,1014,1254,0
2,1,0,4,9,0,59,0
10,1,1,13,44,25,230,0
7,1,0,1,10,0,100,0
44,5,1,35,88,884,658,0
8,2,0,29,64,28,441,0
3,1,0,11,27,0,204,0
3,7,0,5,14,1,64,0
5,1,0,4,33,0,161,0
4,1,0,7,39,4,235,0
20,1,0,15,45,62,603,0
3,2,0,12,16,1,123,0
13,6,0,16,86,50,638,0
7,6,19,22,18,15,69,0
2,2,0,4,3,1,10,0
11,1,0,3,17,0,514,0
2,1,0,6,5,1,12,0
1,1,0,1,1,0,1,0
18,5,0,19,78,119,424,0
2,3,0,9,4,1,9,0
14,6,0,11,57,57,260,0
8,1,2,8,14,8,175,0
9,1,2,10,12,28,91,0
15,1,0,20,63,105,397,0
2,1,0,4,4,1,12,1
5,1,1,14,12,6,169,0
55,4,0,31,132,1121,956,1
20,1,0,47,45,190,841,0
13,6,0,9,56,44,316,0
11,1,0,48,37,23,187,0
1,2,0,3,2,0,5,0
7,1,0,11,31,21,300,0
8,6,8,26,25,24,100,0
7,3,0,4,19,5,100,0
8,3,0,12,26,14,195,0
10,2,0,5,32,21,164,0
9,1,1,3,10,36,20,0
148,1,0,346,510,10050,5420,0
2,1,0,4,4,1,12,1
13,1,0,17,38,72,644,0
4,1,0,4,8,6,145,0
5,1,15,60,15,0,57,0
16,6,0,15,101,80,577,0
15,7,0,8,62,81,368,0
2,1,0,4,4,1,12,0
4,1,1,4,12,6,37,0
86,2,0,9,97,3649,709,0
39,7,0,33,190,535,2164,0
33,1,0,21,108,70,1485,0
5,2,1,10,13,4,61,0
12,5,0,18,61,36,377,1
3,6,0,2,9,1,37,0
5,1,0,6,18,6,161,0
20,1,0,23,79,102,1583,0
4,1,0,6,25,6,124,0
20,2,1,5,55,60,320,0
2,1,0,15,2,1,2,0
22,2,0,14,90,73,663,0
17,6,1,9,59,92,417,0
3,1,0,3,3,3,6,0
1,1,0,6,1,0,1,0
19,7,0,21,110,115,685,0
8,1,2,8,32,0,224,0
17,7,2,15,117,100,878,0
5,7,0,7,34,0,159,0
2,2,0,3,5,1,74,0
4,2,0,13,14,6,113,0
1,1,0,6,1,0,1,0
12,1,0,3,25,0,212,0
9,2,0,20,27,18,288,0
10,5,0,8,44,43,218,0
7,1,1,8,19,21,70,0
7,2,0,3,18,0,366,0
4,2,0,5,25,0,187,0
3,6,0,2,17,1,325,0
6,1,2,7,19,7,141,0
6,1,0,1,6,15,6,0
23,1,0,21,69,175,533,0
5,2,0,7,12,0,60,0
10,2,0,11,29,0,178,0
2,2,0,7,5,1,22,0
8,6,0,15,52,10,339,0
15,2,0,7,40,49,195,0
13,1,0,57,28,0,161,0
12,1,0,7,28,16,259,0
8,3,0,9,29,10,216,0
18,2,0,9,38,153,96,0
16,1,0,1,33,4,258,0
19,1,0,5,48,151,1417,0
2,1,0,4,4,1,12,0
5,6,0,8,35,0,183,0
2,2,0,4,3,1,8,0
2,1,0,4,4,1,12,1
4,2,0,6,12,6,140,0
3,1,0,2,16,1,84,0
18,6,3,26,60,69,252,0
18,5,0,16,76,89,348,0
2,1,0,5,2,1,2,0
2,8,0,4,3,1,13,0
19,2,0,17,38,147,193,0
10,1,0,13,37,3,222,0
14,7,0,13,98,51,799,0
19,1,38,62,30,147,242,0
6,5,0,9,29,5,141,0
11,4,0,6,23,23,494,0
1,1,0,16,1,0,1,0
16,2,1,27,87,14,718,0
9,2,0,8,29,0,708,0
1,1,0,10,1,0,1,0
15,6,0,14,47,79,230,0
8,1,0,2,9,28,18,0
2,1,0,2,3,1,5,0
0,1,0,1,0,0,179,0
7,6,0,11,56,13,522,0
26,1,0,60,81,217,412,0
6,1,0,0,15,0,39,0
9,2,0,16,23,16,189,0
14,1,0,8,29,0,378,0
10,2,0,4,27,21,220,0
3,4,0,15,53,0,285,0
8,1,0,1,14,8,178,0
8,2,0,8,19,10,378,0
2,1,0,3,2,1,2,0
20,5,0,27,144,154,1034,0
3,1,0,10,3,3,3,0
6,6,0,9,58,5,357,0
3,2,0,7,8,0,29,0
24,5,0,28,106,80,530,0
5,3,0,1,6,2,36,0
4,6,0,6,29,0,315,0
2,2,0,9,7,1,29,0
4,1,0,7,5,6,9,0
21,2,2,13,86,134,891,0
1,1,0,1,1,0,1,0
7,1,0,3,7,21,7,0
16,1,2,29,26,88,119,0
8,1,0,8,8,28,8,0
7,1,0,9,10,0,64,0
2,2,0,1,4,1,16,0
5,1,0,3,32,8,300,0
1,1,0,13,1,0,672,0
2,1,0,3,2,1,2,0
20,5,0,31,131,178,853,0
37,5,0,45,139,484,775,0
8,5,0,6,25,6,173,0
14,1,0,2,16,91,38,0
2,2,0,4,6,0,44,0
8,1,0,6,19,0,214,0
1,4,0,24,2,0,5,0
13,7,0,12,75,40,814,0
4,6,0,2,21,0,264,0
23,1,0,25,98,95,734,0
8,1,0,13,64,0,485,0
1,1,0,7,1,0,1,0
2,1,0,6,2,1,2,0
8,2,0,20,21,26,89,0
7,1,2,19,8,0,41,0
11,2,1,12,54,25,444,0
3,2,0,5,9,0,36,0
3,3,1,7,5,3,19,0
2,2,0,1,4,1,16,0
10,1,0,18,33,7,207,0
