wmc,dit,noc,cbo,rfc,lcom,loc,bug1
7,1,0,8,21,9,207,1
5,3,0,4,13,10,40,0
5,2,0,5,7,6,46,1
11,2,0,7,21,35,107,1
9,2,0,5,13,36,59,0
16,1,0,20,55,0,453,1
10,2,0,6,18,27,104,1
7,1,0,6,16,9,1460,1
1,1,0,1,2,0,6,0
9,2,1,6,32,0,172,1
6,3,0,5,9,15,31,0
26,1,3,11,42,325,693,1
5,3,0,4,6,0,35,1
6,1,49,51,56,15,923,0
3,1,0,3,5,3,43,1
3,1,0,7,10,0,83,1
12,2,0,13,34,32,323,1
16,3,0,4,52,82,416,0
11,2,0,6,20,35,112,1
4,2,0,5,11,4,108,1
26,2,1,214,54,111,595,1
6,3,0,5,9,15,31,0
8,4,4,11,16,22,66,0
4,3,0,3,7,6,18,1
8,3,0,5,15,26,295,1
23,2,0,7,39,0,332,1
5,3,0,3,7,4,29,0
4,1,0,7,17,0,116,0
8,1,0,133,166,24,1000,1
9,2,0,5,13,36,60,0
19,2,0,8,35,77,304,1
5,2,0,8,16,10,50,0
36,1,0,28,144,104,1294,1
5,1,0,8,24,2,117,1
8,1,0,7,17,0,134,1
30,1,0,3,53,331,773,1
3,1,0,2,21,3,112,0
14,1,0,12,42,91,458,1
25,2,0,8,44,108,436,1
22,2,0,10,34,199,331,1
4,3,0,3,6,6,16,0
13,2,0,8,29,34,179,1
9,2,0,5,13,36,62,1
1,1,0,4,1,0,1,0
12,2,0,6,22,44,123,1
11,2,0,7,21,35,107,1
10,2,0,4,13,3,83,0
6,1,5,23,30,15,207,0
10,2,0,6,19,39,91,1
16,2,0,9,39,62,285,1
7,2,0,4,8,21,32,0
3,1,0,37,9,1,37,1
4,5,0,2,8,6,20,0
29,2,0,7,49,298,476,1
17,2,0,8,33,32,243,1
7,1,0,17,51,3,282,1
11,2,0,6,20,35,113,1
0,1,0,2,0,0,10,1
7,3,0,5,17,0,116,0
9,1,0,11,43,28,416,0
7,1,0,4,26,0,118,1
6,1,0,7,16,1,145,0
5,3,0,4,17,10,52,0
2,1,0,8,37,1,139,1
3,1,0,1,10,3,244,0
5,2,0,16,41,6,181,1
18,2,0,7,40,103,301,1
1,6,0,7,2,0,6,0
47,2,0,9,63,167,741,1
7,1,0,12,29,1,257,1
4,4,0,4,8,6,20,0
57,2,0,15,87,1362,1806,1
6,1,0,4,22,0,163,0
11,1,0,5,21,9,92,0
19,2,0,6,30,95,318,1
23,2,0,8,41,0,349,1
5,3,0,4,13,10,40,0
6,3,0,5,10,15,31,0
5,1,0,2,6,0,43,0
6,3,0,5,9,15,31,0
1,1,0,0,2,0,4,0
1,5,2,8,8,0,32,0
8,2,0,5,15,28,60,1
9,2,0,11,27,6,180,1
22,2,0,6,36,197,310,1
17,2,0,7,32,64,270,1
10,3,0,6,13,3,69,1
31,2,6,16,55,133,573,1
4,1,0,2,4,6,4,1
0,1,0,0,0,0,7,0
8,2,0,10,61,22,725,1
9,1,0,10,9,36,9,0
43,1,0,7,90,0,397,1
18,2,0,7,33,99,228,1
9,2,0,9,17,30,55,0
4,1,0,11,16,6,83,0
10,1,0,14,10,45,10,0
7,1,0,2,8,9,59,0
2,3,0,3,4,1,12,0
9,2,0,5,13,36,58,0
6,1,0,7,22,3,111,1
25,2,0,8,40,106,452,1
8,1,0,2,12,8,129,1
5,2,0,17,48,6,439,1
11,2,0,6,21,43,102,1
21,2,0,9,45,92,370,1
4,4,0,3,8,6,20,0
11,1,0,5,21,9,92,0
2,1,0,4,7,0,46,0
11,2,0,6,22,35,122,1
2,1,0,3,15,1,56,0
9,2,0,5,13,36,64,0
10,2,0,5,14,45,67,1
5,3,4,5,7,4,29,0
0,1,0,4,0,0,0,0
3,1,0,4,4,3,7,1
14,2,0,5,23,73,122,1
19,2,0,7,33,119,303,1
5,1,0,1,15,0,86,0
4,1,1,3,16,2,798,0
37,2,0,11,53,394,543,1
11,2,0,6,20,43,102,1
11,2,0,5,22,35,122,1
17,2,0,6,28,90,232,1
11,2,1,15,51,25,305,1
10,2,0,6,14,45,59,0
7,1,0,20,59,9,754,1
2,1,0,5,2,1,2,0
1,1,0,8,1,0,1,0
17,2,0,11,42,108,514,1
4,3,0,3,7,6,18,1
4,1,4,5,6,6,15,0
29,3,0,15,48,146,538,1
1,1,0,9,1,0,1,0
9,2,0,7,16,36,67,1
9,2,0,5,13,36,62,0
11,1,0,7,17,9,85,0
13,2,0,18,42,0,235,1
3,1,0,1,9,0,86,0
12,2,0,6,21,54,122,1
14,1,19,70,91,85,579,1
10,2,0,5,14,45,63,0
60,2,0,15,98,1374,1116,1
4,1,0,6,4,6,4,0
12,1,1,17,49,18,595,1
1,3,0,4,2,0,13,1
3,1,0,0,15,1,53,1
4,1,0,6,16,4,82,0
10,2,0,9,26,33,148,1
10,2,0,6,19,33,102,1
13,2,0,11,26,4,174,0
10,2,0,6,19,39,92,1
11,2,1,5,16,21,86,1
15,2,0,7,33,43,258,1
6,1,0,1,27,15,264,0
39,2,0,8,58,91,652,1
20,1,14,37,36,164,141,1
27,1,0,9,54,107,515,1
15,2,0,6,26,57,225,1
8,2,0,6,20,4,143,0
2,5,0,3,9,1,33,0
1,1,0,4,1,0,1,0
17,2,0,6,29,74,269,1
8,2,1,21,59,20,267,1
14,1,0,12,29,1,193,1
8,2,1,10,37,0,276,1
8,3,0,6,23,8,125,1
37,2,0,11,55,474,549,1
24,2,0,10,38,234,366,1
18,1,0,37,19,107,170,0
10,2,0,0,19,0,86,0
15,2,0,8,32,79,242,1
19,2,0,8,35,0,262,1
0,1,0,0,0,0,4,0
4,5,0,2,8,6,20,0
15,1,0,7,34,105,338,1
10,2,0,5,14,45,67,1
23,2,0,2,24,253,49,1
4,4,0,3,8,6,20,0
9,2,0,4,13,36,58,0
18,2,0,7,32,85,398,1
1,2,1,2,2,0,4,0
13,2,0,6,25,44,171,1
4,5,0,4,8,6,20,0
3,3,0,8,10,3,27,1
25,2,0,4,67,0,991,0
5,2,0,5,12,10,32,0
11,3,0,11,25,55,207,1
25,2,0,8,45,0,181,1
13,2,0,12,23,0,271,0
5,3,0,4,12,10,42,0
10,1,0,14,59,15,732,1
23,1,0,7,48,0,167,1
12,2,0,5,26,42,182,1
2,3,0,3,4,1,12,0
11,1,0,2,24,53,241,1
11,2,0,6,20,35,113,1
8,2,0,7,9,14,73,0
8,3,0,5,20,0,154,0
6,3,0,4,34,13,194,0
4,3,0,3,6,6,16,0
20,1,0,2,34,158,262,1
85,3,0,0,182,0,2891,0
10,1,2,14,12,3,69,1
17,2,0,6,26,94,207,1
16,1,0,3,17,78,172,0
6,3,0,5,9,15,31,0
65,1,0,44,248,100,2273,1
37,2,0,9,50,442,485,1
26,2,0,9,41,179,339,1
8,2,0,8,19,0,324,0
10,2,0,5,18,39,75,1
3,1,0,3,8,0,32,0
37,2,0,16,79,436,810,1
11,1,0,4,15,21,90,0
81,3,0,3,159,3130,905,1
11,2,0,6,20,43,102,1
11,2,0,5,22,35,122,1
2,1,0,3,5,0,88,0
4,1,0,6,4,6,4,1
12,1,134,155,21,66,63,1
19,2,0,6,33,95,321,1
12,2,0,4,22,52,124,0
10,2,0,6,19,39,92,1
4,1,0,3,4,6,4,0
4,1,0,9,49,0,463,1
3,4,0,147,6,3,16,0
6,2,1,7,14,15,67,0
8,2,0,6,15,28,60,1
17,2,0,11,48,38,421,1
9,1,0,10,20,0,294,0
29,2,0,6,61,282,710,1
32,1,3,19,65,290,732,1
11,2,0,7,21,25,121,1
9,2,0,7,24,2,190,0
12,2,0,6,47,28,353,1
4,1,0,1,5,0,33,1
11,2,0,6,20,43,104,1
14,2,2,9,40,27,594,1
15,2,0,8,31,55,240,1
11,2,0,6,20,35,112,1
6,1,0,7,6,15,6,0
3,1,0,4,6,1,32,0
15,3,0,6,37,5,434,1
1,6,0,2,2,0,6,0
11,2,0,7,21,35,107,1
14,2,0,7,37,35,335,1
10,2,0,6,19,33,102,1
6,2,0,12,36,11,173,1
9,1,0,8,45,36,3581,1
8,2,0,5,15,28,60,1
12,1,0,8,25,24,319,1
22,2,4,15,54,69,434,1
11,3,0,9,33,0,241,1
13,2,0,7,31,52,206,1
16,1,0,71,49,102,794,1
10,2,0,7,16,15,125,1
